CHROM	Start	End	Length	14	5	15	7	2	3	4	6	8	9	10	11	12	13	16	19	17	20	21	18
Chr01	13141960	13145010	3211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|13690783-13694239	Chr01|11928449-11931512	Chr01|12250900-12254040	Chr01|13676914-13680150
Chr01	13837935	13857877	19942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|13585068-13645978	NA
Chr01	13847992	13860594	12602	NA	Chr01|14271082-14283695	NA	Chr01|13720003-13732621	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	13979867	14080469	100602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|15123815-15227059
Chr01	14305884	14315557	9673	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|15398554-15408408
Chr01	14375098	14377155	2057	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|13434492-13436512	Chr01|14168829-14170851	NA
Chr01	14826695	14899639	72944	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|16108413-16136616
Chr01	15096927	15098677	1750	NA	NA	Chr01|15762127-15763822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	15132555	15139540	6985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|16363283-16370275
Chr01	15171573	15232695	61122	NA	NA	Chr01|15876664-15935469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	15848802	15967306	118504	NA	NA	NA	NA	Chr01|16411779-16550444	Chr01|16412197-16574792	NA	NA	Chr01|16257058-16453749	Chr01|15855905-16052751	Chr01|16446266-16585008	Chr01|16235956-16398516	Chr01|16078135-16216767	Chr01|16258102-16396766	Chr01|16296783-16435487	Chr01|16341383-16504028	NA	NA	NA	NA
Chr01	15929289	15933287	3998	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|14815304-14819306	NA	NA
Chr01	16151770	16499077	347307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|17725020-18487008
Chr01	16452642	16454198	1556	NA	NA	NA	Chr01|16431399-16432959	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	16759730	16911814	152084	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|17387021-17748240	NA	NA	NA	NA	NA
Chr01	16989265	17124212	134947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|15617722-15754572	Chr01|16371839-16506101	NA
Chr01	17003105	17806533	803428	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|18009584-19288159	NA	NA	NA
Chr01	19913222	21736006	1822784	NA	NA	NA	NA	NA	NA	Chr01|19939074-21345363	NA	NA	NA	NA	NA	Chr01|20827415-22237084	NA	NA	NA	NA	NA	NA	NA
Chr01	20783003	20785164	2161	NA	NA	NA	NA	NA	Chr01|21843100-21845286	NA	NA	NA	NA	NA	NA	NA	Chr01|21751660-21753846	NA	NA	Chr01|22885459-22887645	NA	NA	NA
Chr01	21275540	21279189	3649	NA	NA	NA	NA	Chr01|22328461-22332106	Chr01|22180080-22183725	NA	Chr01|22505388-22509033	NA	Chr01|22494037-22497682	Chr01|22540809-22544454	Chr01|22360256-22363901	NA	Chr01|22088222-22091867	Chr01|22298473-22302118	NA	NA	NA	NA	NA
Chr01	21508367	21510092	1725	NA	NA	NA	NA	Chr01|22531514-22533249	Chr01|22384324-22386059	NA	Chr01|22709649-22711384	NA	Chr01|22698110-22699845	Chr01|22745081-22746816	Chr01|22575052-22576787	NA	Chr01|22292483-22294218	Chr01|22502649-22504384	NA	NA	NA	NA	NA
Chr01	21720774	21725190	4416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|23831542-23835798
Chr01	22077421	22079508	2087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|24322699-24324813
Chr01	28847989	28849651	1662	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|31673339-31674969
Chr01	28985747	28989725	3978	Chr01|29113679-29117647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	32973270	33008153	34883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|37051589-37080753
Chr01	33494346	33597502	103156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|37613812-37630583
Chr01	34121219	34125792	4573	Chr01|34284363-34288901	NA	Chr01|35128839-35133377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr01	37745829	37762247	16418	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|35213758-35236684	NA
Chr01	37858913	37862028	3115	NA	NA	NA	NA	Chr01|39105412-39108526	NA	NA	Chr01|38981388-38984503	NA	Chr01|39440426-39443539	Chr01|39410975-39414090	NA	NA	Chr01|38935037-38938152	NA	NA	NA	NA	NA	NA
Chr01	37858913	37862620	3707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|34663658-34667364	Chr01|35335096-35338802	NA
Chr01	37861039	37863797	2758	NA	NA	NA	NA	NA	Chr01|39132156-39134899	NA	NA	Chr01|39481377-39484120	NA	NA	Chr01|39362838-39365583	NA	NA	Chr01|39030355-39033098	NA	NA	NA	NA	NA
Chr01	39322848	39329875	6966	NA	NA	NA	NA	NA	NA	Chr01|39041169-39048083	Chr01|40479494-40482720	Chr01|41004922-41008148	NA	NA	Chr01|40892840-40896066	Chr01|39753000-39759915	Chr01|40433063-40436291	NA	Chr01|40811860-40818878	NA	NA	NA	NA
Chr01	41015465	41101622	86157	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|46172724-46256154
Chr01	41459025	41465794	6769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr01|38778239-38785067	NA
Chr02	446292	452296	6004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|478123-488151	NA	NA	NA
Chr02	655419	668963	13544	NA	NA	Chr02|654788-668230	NA	Chr02|570731-584244	NA	Chr02|605213-618759	NA	Chr02|640808-654356	NA	Chr02|643335-656777	Chr02|638270-651757	Chr02|650703-664248	NA	Chr02|677737-691191	Chr02|624667-638217	Chr02|645465-658945	NA	NA	NA
Chr02	2331479	2410417	78938	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|2223103-2259032
Chr02	2593617	2598324	4707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|2408280-2412993
Chr02	3271285	3279456	8171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|3405352-3414456	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	3669456	3674389	4933	NA	NA	NA	NA	NA	NA	Chr02|3553293-3558237	NA	NA	NA	NA	NA	Chr02|3568184-3573130	NA	NA	NA	NA	NA	NA	NA
Chr02	4564632	4643949	79317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|4294360-4387878
Chr02	6429302	6450621	21319	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|6208209-6229617	NA	NA
Chr02	7044596	7046114	1518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|7267882-7269401
Chr02	7165034	7166341	1307	Chr02|7204770-7206080	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|7594790-7596100	NA	NA	NA
Chr02	7321314	7366482	45168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|7630780-7704356
Chr02	7513929	7515159	1230	Chr02|7558374-7559606	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	8282460	8286680	4220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|8741253-8745389	NA	NA	NA
Chr02	8458213	8467486	9437	NA	NA	NA	NA	Chr02|8631643-8640894	NA	NA	Chr02|8615232-8624485	NA	Chr02|8906094-8915347	NA	NA	NA	NA	NA	NA	NA	Chr02|8403715-8410461	Chr02|8362174-8368920	NA
Chr02	8458616	8467083	8789	NA	NA	NA	NA	NA	Chr02|8787162-8794566	NA	NA	NA	NA	NA	Chr02|8977979-8985382	NA	Chr02|8608605-8617868	NA	Chr02|8644235-8653504	Chr02|8927665-8935070	NA	NA	NA
Chr02	9091277	9097003	5726	NA	NA	NA	Chr02|8983302-8989028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	9578102	9590396	12294	Chr02|9556304-9568590	Chr02|9673249-9685543	Chr02|9619226-9631518	Chr02|9507436-9519730	NA	Chr02|9634737-9647030	NA	Chr02|9582607-9594901	Chr02|9422365-9434659	NA	NA	Chr02|9788064-9800300	Chr02|9545679-9557973	NA	Chr02|9483972-9496261	NA	NA	NA	NA	NA
Chr02	9583711	9590396	6685	NA	NA	NA	NA	NA	NA	Chr02|9485906-9492595	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|9576421-9583111	NA	NA	NA	NA
Chr02	9738315	9759617	21376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|9981162-9993831	NA	NA	NA	NA	NA	Chr02|9519362-9532975	Chr02|9511680-9525070	NA
Chr02	9909406	9962306	52900	Chr02|9888653-9941387	Chr02|10005239-10057980	Chr02|9947218-9999954	Chr02|9839241-9891974	NA	Chr02|9967401-10020131	NA	Chr02|9914524-9967285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	9909406	9963907	54501	NA	NA	NA	NA	Chr02|9683532-9752541	NA	NA	NA	NA	Chr02|9938606-10007636	NA	Chr02|10244998-10314022	NA	Chr02|9720645-9789669	NA	NA	NA	NA	NA	NA
Chr02	9912478	9959115	46637	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|9694478-9740224	Chr02|9686715-9736004	NA
Chr02	9912478	9962306	49828	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|10104760-10164734	NA	NA	NA
Chr02	11376875	11379391	2516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|12151048-12153490
Chr02	11528725	11533237	4512	NA	NA	NA	NA	Chr02|11302981-11307506	Chr02|11652010-11656536	Chr02|11463734-11468260	Chr02|11533855-11538381	Chr02|11552403-11556903	Chr02|11664693-11669226	Chr02|11384731-11389257	Chr02|11864933-11869459	Chr02|11595950-11600479	Chr02|11484872-11489385	Chr02|11582196-11586721	Chr02|11506613-11511126	Chr02|11882731-11893777	NA	NA	NA
Chr02	11876307	11884030	7723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|12712662-12718975
Chr02	12758358	12772011	13653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|13294330-13310401	NA	NA	NA
Chr02	12767264	12772011	4747	NA	NA	NA	NA	Chr02|12578746-12582988	Chr02|12985176-12989418	Chr02|12772747-12776989	Chr02|12867615-12871857	Chr02|12909040-12913282	Chr02|12966955-12971197	Chr02|12693747-12697989	Chr02|13165054-13169296	Chr02|12931311-12935553	Chr02|12817779-12822021	Chr02|12915533-12919775	Chr02|12913475-12917717	NA	NA	NA	NA
Chr02	13505060	13565903	60843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|15344194-15355124
Chr02	14229757	14308625	78868	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|15161502-15217600	NA	NA	NA
Chr02	14231035	14305481	74446	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|13770517-13787714	Chr02|14031062-14048260	NA
Chr02	14237835	14308625	70790	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|14824140-14831728	NA	NA	NA	NA	NA	NA	NA
Chr02	14356523	15558598	1202075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|14099154-15368683	NA	NA
Chr02	14654228	14655303	1075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|14671928-14673020	NA
Chr02	15717029	15736673	19644	Chr02|15737276-15756918	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	16124629	16127484	2855	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|17881101-17883923	NA	NA	NA
Chr02	16361000	16365600	4600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|20584467-20589031
Chr02	16361000	16369360	8360	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|16518542-16531489	NA
Chr02	16361000	16406754	45754	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|17933109-18076275	NA	NA	NA	NA
Chr02	17320414	17375294	54880	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|18501370-18557148	NA	NA	NA	Chr02|18341494-18397314	NA	NA	NA	NA	NA	NA
Chr02	17682679	17720661	37982	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|17398527-17430015	Chr02|17797197-17828686	NA
Chr02	18538537	18552659	14122	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|22962871-22973739
Chr02	18554458	18592433	37975	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|18205501-18356142	Chr02|18607979-18885404	NA
Chr02	18826660	19000332	173672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|23374585-23569841
Chr02	19133603	19137211	3608	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|18860317-18863925	Chr02|19399753-19403359	NA
Chr02	20066328	20067392	1064	NA	NA	NA	NA	NA	Chr02|21173712-21174776	NA	NA	NA	Chr02|21347082-21348146	NA	Chr02|21491021-21492085	NA	NA	NA	NA	NA	NA	NA	NA
Chr02	20173045	20174342	1291	NA	NA	NA	NA	NA	NA	NA	Chr02|21192007-21193287	NA	NA	NA	NA	Chr02|21748802-21750100	NA	NA	Chr02|21716984-21718283	NA	NA	NA	NA
Chr02	21396218	21417223	21005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|26231036-26268424
Chr02	21662560	21664151	1591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|26509716-26511329
Chr02	21690195	21692020	1825	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|26535887-26537700
Chr02	22629551	22632586	3035	NA	NA	NA	NA	Chr02|23353086-23356114	Chr02|23903851-23906879	NA	Chr02|23760953-23763995	Chr02|23642399-23645427	Chr02|24056181-24059214	NA	Chr02|24109563-24112605	NA	Chr02|24314949-24317977	Chr02|23887635-23890670	NA	NA	NA	NA	NA
Chr02	22856237	22857743	1506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|22437477-22438986	Chr02|23082913-23084422	NA
Chr02	23069670	23071263	1593	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|27875265-27876861
Chr02	23720932	23772956	52024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|28409126-28497157
Chr02	25929461	25931160	1699	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|25209008-25210702	Chr02|25814176-25815872	NA
Chr02	28204212	28208110	3898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|31486438-31490357	NA	NA	NA
Chr02	30081457	30084601	3144	NA	NA	NA	NA	Chr02|30819823-30822965	Chr02|31367847-31370990	NA	Chr02|31260536-31263679	NA	Chr02|31815815-31818958	Chr02|31670596-31673739	Chr02|31998373-32001516	NA	Chr02|32267640-32270783	Chr02|31225807-31228945	NA	NA	NA	NA	NA
Chr02	30081457	30085295	3838	NA	NA	NA	NA	NA	NA	Chr02|31438966-31442806	NA	Chr02|30996916-31000757	NA	NA	NA	NA	NA	NA	Chr02|31740684-31744525	NA	NA	NA	NA
Chr02	33004612	33015388	10776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|36674394-36682015	NA	NA	NA
Chr02	33254733	33257391	2658	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|39823506-39826175
Chr02	34062437	34063675	1238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|32819121-32820323	Chr02|33436855-33438054	NA
Chr02	34529629	34546256	16627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|38295455-38306543	NA	NA	NA
Chr02	34564515	34723514	158999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|40976465-41132523
Chr02	34799241	34870585	71344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|41239804-41293879
Chr02	35433234	35439096	5862	NA	NA	NA	NA	Chr02|36173497-36179366	Chr02|36714606-36720475	NA	Chr02|36612418-36618287	Chr02|36336557-36342426	Chr02|37148544-37154413	Chr02|37006481-37012350	Chr02|37387051-37392920	Chr02|37340764-37346633	Chr02|37643356-37649225	Chr02|36566647-36572514	Chr02|37162929-37168798	NA	NA	NA	NA
Chr02	35449192	35450499	1307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr02|41954937-41956264
Chr03	267426	272265	4839	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|299340-307479	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	296809	322682	25873	Chr03|305687-331557	Chr03|296170-322017	Chr03|295204-321074	Chr03|301042-326918	NA	NA	Chr03|315989-341858	Chr03|296351-322223	Chr03|296073-321898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	308285	309780	1495	NA	NA	NA	NA	NA	Chr03|300316-301832	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	386243	400897	14654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|305129-321398	Chr03|287407-303706	NA
Chr03	386363	402805	16435	Chr03|395232-411688	NA	Chr03|386405-402841	Chr03|390566-407128	NA	NA	Chr03|405541-421987	Chr03|385889-402348	Chr03|385573-402129	NA	NA	NA	NA	NA	NA	Chr03|341961-361080	NA	NA	NA	NA
Chr03	387577	402782	15137	NA	Chr03|385707-400777	NA	NA	Chr03|342410-357507	Chr03|365551-380667	NA	NA	NA	Chr03|394337-409523	Chr03|393711-408666	Chr03|387307-402229	Chr03|361782-376929	Chr03|396581-411746	Chr03|393983-409199	NA	NA	NA	NA	NA
Chr03	1799008	1804354	5346	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|1715515-1720721
Chr03	5476399	5478281	1882	NA	NA	NA	NA	NA	NA	Chr03|5574762-5576658	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|5551337-5553233	NA	NA	NA	NA
Chr03	5693488	5695357	1869	NA	NA	NA	NA	NA	NA	Chr03|5816078-5817949	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|5793056-5794927	NA	NA	NA	NA
Chr03	7504097	7514141	10044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|7691270-7701255	NA	NA	NA	NA
Chr03	7585203	7587059	1856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|7160785-7162616	Chr03|7115629-7117460	NA
Chr03	8833298	8835430	2132	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|9170475-9173125	NA	NA	NA	NA	NA	NA	NA	NA	NA
Chr03	10075865	10078055	2190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chr03|11139617-11141821	NA	NA	NA
Chr03	10926524	10930839	4315	Chr03|11154653-11158968	Chr03|11055761-11060076	NA	NA	Chr03|11117018-11121332	Chr03|11150380-11154695	Chr03|11212097-11216412	Chr03|11161143-11165458	Chr03|11190302-11194617	Chr03|11232560-11236875	Chr03|11342328-11346639	Chr03|11304474-11308789	Chr03|11150333-11154636	Chr03|11198665-11202980	Chr03|11516057-11520375	Chr03|11215126-11219442	Chr03|12095675-12099996	Chr03|10367784-10372083	Chr03|10298891-10303211	NA
