CHROM	Start	End	Length	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
Chr03	296809	322682	25873			Chr03|315989-341858	Chr03|296170-322017	Chr03|296351-322223	Chr03|301042-326918	Chr03|296073-321898						Chr03|305687-331557	Chr03|295204-321074	
Chr03	386363	402805	16435			Chr03|405541-421987		Chr03|385889-402348	Chr03|390566-407128	Chr03|385573-402129						Chr03|395232-411688	Chr03|386405-402841	
Chr03	387577	402782	15137	Chr03|342410-357507	Chr03|365551-380667		Chr03|385707-400777				Chr03|394337-409523	Chr03|393711-408666	Chr03|387307-402229	Chr03|361782-376929	Chr03|396581-411746			Chr03|393983-409199
Chr03	14685943	14687235	1292			Chr03|15485201-15486514		Chr03|15424501-15425814						Chr03|15295200-15296513	Chr03|15460837-15462150			
Chr03	15427983	15431858	3875	Chr03|16148572-16152431						Chr03|16156106-16159969	Chr03|16276320-16280182	Chr03|16272256-16276119				Chr03|16026062-16029924		Chr03|16481630-16485492
Chr03	18919421	19341970	422549	Chr03|20185794-20632497	Chr03|20231637-20861511	Chr03|20052352-20697912	Chr03|20008842-20545309	Chr03|20000370-20579849		Chr03|20090375-20673034	Chr03|20231360-20814527	Chr03|20704495-21151093	Chr03|20243838-20844109	Chr03|19758949-20413224	Chr03|20094945-20675420			
Chr03	19350111	19376815	26704			Chr03|20734646-20756357	Chr03|20595356-20670323	Chr03|20648743-20674932		Chr03|20741714-20767832	Chr03|20883378-20909428		Chr03|20881834-20908025	Chr03|20449839-20471566	Chr03|20744261-20770444			Chr03|20989657-21053943
Chr03	34783642	34815450	31858	Chr03|37783750-37823710	Chr03|37631021-37671408	Chr03|37303675-37335740		Chr03|37241837-37282232		Chr03|37473934-37510436	Chr03|37699102-37730554	Chr03|38710465-38750874	Chr03|37891926-37923376	Chr03|37185555-37217621	Chr03|37210988-37251401			Chr03|37872056-37903505
Chr04	17912	45230	27318							Chr04|1033-16291					Chr04|2316-17574	Chr04|5427-20703		Chr04|6335-21593
Chr04	1791537	1792977	1456		Chr04|1832585-1834063	Chr04|1713966-1715448			Chr04|1748118-1749587	Chr04|1822722-1824200	Chr04|1732468-1733946		Chr04|1548428-1549912	Chr04|1617557-1619035	Chr04|1670111-1671589	Chr04|1481083-1482552		Chr04|1819433-1820911
Chr04	2220832	2291225	70393	Chr04|2060174-2195035	Chr04|2085941-2221120		Chr04|1858099-1989332	Chr04|2060908-2197009						Chr04|1888400-1943891	Chr04|1923215-2059320			Chr04|2090333-2145823
Chr04	4939906	4990149	50243		Chr04|4762797-4771531	Chr04|4714306-4723040			Chr04|4583140-4591874						Chr04|4626906-4635640			
Chr04	7879458	7903263	23805		Chr04|7827211-7853408			Chr04|6719461-6745698	Chr04|7620562-7646753	Chr04|7465249-7491443	Chr04|7655011-7681204	Chr04|8086985-8113189	Chr04|7672253-7698475	Chr04|7274742-7300942	Chr04|7502458-7538895			
Chr04	8709096	8715813	6717	Chr04|8428819-8455671	Chr04|9151178-9170908	Chr04|8209526-8228594		Chr04|7869537-7901553		Chr04|8949951-8969680	Chr04|8832939-8859757	Chr04|9577296-9597026	Chr04|8874771-8906768	Chr04|8176715-8195803	Chr04|8979319-8999052			Chr04|9518148-9537697
Chr04	11053955	11087184	32951	Chr04|10720472-10770233	Chr04|11292911-11351577	Chr04|10564988-10606385				Chr04|11933894-11992365	Chr04|11989070-12047313	Chr04|12047612-12106278		Chr04|10984414-11025827	Chr04|12014855-12073478			Chr04|12658578-12720414
Chr04	11828858	11839594	10736	Chr04|11562514-11570133	Chr04|12144143-12151763	Chr04|11453357-11460976				Chr04|12783304-12790924		Chr04|12898806-12906426		Chr04|11873786-11881405	Chr04|12865762-12873382			Chr04|13569911-13577531
Chr04	13913783	13917741	3958	Chr04|13678909-13682868	Chr04|14325208-14329167	Chr04|13643607-13647563		Chr04|13709209-13713168	Chr04|12758210-12762211	Chr04|14876536-14880495		Chr04|14832958-14836917	Chr04|14567021-14570980	Chr04|14053120-14057076	Chr04|14966079-14970038			Chr04|15690646-15694605
Chr04	15192389	15261344	68955	Chr04|14936963-15004564	Chr04|15554766-15627132		Chr04|13690301-13763175		Chr04|13911145-13984047	Chr04|16119961-16192164	Chr04|16116659-16191040		Chr04|15772361-15846814		Chr04|16209377-16281736	Chr04|13823742-13898099	Chr04|14857365-14930211	
Chr04	17723456	18681774	958318	Chr04|17847313-18938183				Chr04|17034709-18092531			Chr04|19085987-20194719	Chr04|18435391-19527117						Chr04|19326808-20417277
Chr04	20816891	20838878	22011	Chr04|21340812-21360738	Chr04|21297328-21317256			Chr04|20453209-20473147		Chr04|21648793-21668608	Chr04|22586111-22606049	Chr04|21875518-21895406	Chr04|22257794-22277734		Chr04|21953951-21973888	Chr04|19417660-19442277		Chr04|22827710-22847649
Chr04	29025990	29063087	37097	Chr04|29581174-29634564	Chr04|29624027-29677435			Chr04|28626825-28680235		Chr04|29979450-30032812	Chr04|30992125-31045536				Chr04|30253660-30307073			Chr04|31178314-31231726
Chr04	35464349	35482770	18421	Chr04|36116893-36151035	Chr04|36303412-36337605	Chr04|34888749-34922884		Chr04|35223308-35257464		Chr04|36636344-36670378	Chr04|37839751-37873882		Chr04|36884515-36918728		Chr04|36940457-36974699			Chr04|37637733-37671855
Chr04	35464349	35489739	25389						Chr04|34291020-34316174					Chr04|35290120-35315281		Chr04|34234063-34259226	Chr04|35437755-35462914	
Chr05	817809	819150	1341					Chr05|789670-791011	Chr05|854069-855405			Chr05|732675-734016						Chr05|781647-782985
Chr05	1383951	1391735	7784				Chr05|1359424-1367225	Chr05|1415137-1422921	Chr05|1438610-1448510							Chr05|1449868-1457653	Chr05|1398476-1406281	
Chr05	1385789	1390659	4870		Chr05|1413904-1416270					Chr05|1320962-1323327	Chr05|1394390-1396756				Chr05|1410403-1412769			Chr05|1388109-1390475
Chr05	3550118	3560099	9981	Chr05|3549792-3558639	Chr05|3416052-3425033					Chr05|3313343-3322233	Chr05|3408933-3417787	Chr05|3427843-3436709	Chr05|3507967-3516808		Chr05|3405995-3414864			
Chr05	4394754	4419566	24812	Chr05|4321901-4343409	Chr05|4195217-4216723			Chr05|4354909-4376418		Chr05|4093093-4114176	Chr05|4181312-4202821	Chr05|4200193-4221702	Chr05|4294211-4315703		Chr05|4178295-4199804			Chr05|4252517-4274027
Chr05	4427982	4432428	4446	Chr05|4348208-4352664	Chr05|4221522-4225978			Chr05|4381217-4385673		Chr05|4118974-4123430	Chr05|4207620-4212076	Chr05|4226501-4230957	Chr05|4320503-4324959		Chr05|4204603-4209059			Chr05|4278826-4283284
Chr05	7076516	7090061	13545	Chr05|7099595-7113166	Chr05|6978850-6992422	Chr05|6933120-6946684				Chr05|6897650-6911219	Chr05|7000717-7014289	Chr05|7094481-7108053		Chr05|7064376-7077941				Chr05|7030561-7044133
Chr05	7077805	7090061	12256				Chr05|7425536-7437784	Chr05|7353138-7365386	Chr05|7142119-7154367				Chr05|7182731-7194981		Chr05|7068916-7081164	Chr05|7047891-7060139		
Chr05	8101439	8103987	2548	Chr05|8149272-8151820	Chr05|8028888-8031436			Chr05|8369286-8371834		Chr05|7969650-7972198	Chr05|8080016-8082560	Chr05|8144346-8146894	Chr05|8206155-8208703	Chr05|8085030-8087580	Chr05|8085331-8087879		Chr05|8085989-8088535	Chr05|8075134-8077682
Chr05	8110322	8118113	7791	Chr05|8158171-8165901	Chr05|8037790-8045520	Chr05|7952144-7959888		Chr05|8378228-8385951		Chr05|7978551-7986281	Chr05|8089478-8097200	Chr05|8153248-8160978	Chr05|8215058-8222788	Chr05|8093927-8101641	Chr05|8094266-8101989			Chr05|8084036-8091766
Chr05	22526508	22536064	9783	Chr05|23456464-23470229				Chr05|23755229-23768993	Chr05|23138436-23148293			Chr05|23668936-23682672		Chr05|23378308-23387849		Chr05|23033617-23043476		
Chr05	25565334	25570853	5347	Chr05|26526610-26532229						Chr05|26380166-26385769	Chr05|26499243-26504461	Chr05|26718486-26723754	Chr05|26729199-26734457					Chr05|26492496-26497784
Chr06	3537187	3560310	23123		Chr06|3408152-3434720		Chr06|3719591-3746156					Chr06|3368757-3395326	Chr06|3702411-3728981					
Chr06	8598259	8649711	51452	Chr06|8307143-8399243						Chr06|8574363-8666449		Chr06|8279804-8371914	Chr06|8778291-8870400					Chr06|8478400-8570475
Chr06	9803594	9806682	3044			Chr06|9654251-9657351	Chr06|9765281-9768380	Chr06|9901328-9904428	Chr06|9606672-9609771					Chr06|9753809-9756909			Chr06|9580416-9583516	
Chr06	10971449	10977768	6313		Chr06|10504648-10510966	Chr06|10655927-10662229	Chr06|10732412-10738716		Chr06|10644630-10650936	Chr06|11294294-11300610	Chr06|10560050-10566362			Chr06|10772105-10778407		Chr06|10481855-10488148	Chr06|10590740-10597043	Chr06|10920553-10926865
Chr06	10972082	10977768	5686	Chr06|10500059-10505851				Chr06|10884430-10890206				Chr06|10661102-10666836	Chr06|11062768-11068502		Chr06|10680428-10686204			
Chr06	13119682	17632495	4512813	Chr06|12599394-18279536	Chr06|12700610-18508843	Chr06|12768352-18100813		Chr06|13002028-18819603	Chr06|12817839-18590947	Chr06|13508434-19220726	Chr06|12862810-18640731	Chr06|12890357-18566088		Chr06|12864442-18504287	Chr06|12830376-18649323			Chr06|13017995-18744510
Chr06	17659075	17853290	194215	Chr06|18316537-18514188	Chr06|18551017-18748847	Chr06|18127487-18325117		Chr06|18861777-19059593	Chr06|18627952-18847741	Chr06|19257644-19455071		Chr06|18603056-18818829	Chr06|18995811-19192841		Chr06|18691495-18889236	Chr06|17891644-18167837		
Chr06	20928379	20931095	2716		Chr06|21660407-21663146			Chr06|21961424-21964164	Chr06|21671353-21674093	Chr06|22398731-22401471	Chr06|21915435-21918175				Chr06|21791998-21794738			
Chr06	24907096	24953177	46081	Chr06|25515683-25554428				Chr06|26021386-26060136		Chr06|26661595-26700356	Chr06|26122735-26161485	Chr06|26037814-26076565	Chr06|26291410-26330161	Chr06|25725118-25763521	Chr06|25980791-26019541			
Chr07	169852	173381	3804			Chr07|185288-189151		Chr07|159839-163369			Chr07|146414-150238			Chr07|171887-175747				
Chr07	1431373	1436639	5265			Chr07|1404281-1409532				Chr07|1336335-1341592		Chr07|1386308-1391565	Chr07|1385250-1390507					Chr07|1354118-1359375
Chr07	1889727	1905877	16150		Chr07|2142535-2161550					Chr07|1759921-1778934	Chr07|1755010-1774025	Chr07|1809120-1828155						Chr07|1778001-1797016
Chr07	4425019	4426366	1347	Chr07|4302866-4304214	Chr07|4673196-4674544			Chr07|4846012-4847360		Chr07|4352292-4353640	Chr07|4244030-4245378	Chr07|4320920-4322268	Chr07|4708934-4710282		Chr07|4433264-4434612			Chr07|4368105-4369453
Chr07	5354499	5430622	76123	Chr07|5246280-5295363	Chr07|5616866-5665963			Chr07|5789166-5838269		Chr07|5297154-5346130		Chr07|5264837-5313944	Chr07|5661085-5710178	Chr07|5422097-5470613	Chr07|5390283-5439376			Chr07|5311875-5360938
Chr07	7478562	7484152	5590	Chr07|7309746-7315396	Chr07|7739224-7744875			Chr07|7912649-7918300				Chr07|7423182-7428833	Chr07|7802785-7808436		Chr07|7514555-7520206	Chr07|7480907-7486558		Chr07|7448313-7453964
Chr07	8716671	8753196	36525	Chr07|8666374-8711111	Chr07|9082780-9130772			Chr07|9422437-9467465			Chr07|8564116-8608528	Chr07|8941756-8986544	Chr07|9169335-9214093		Chr07|9027178-9072206	Chr07|8852931-8909703		Chr07|8960475-9005508
Chr07	9424698	9589654	164956	Chr07|9469337-9639901	Chr07|9866095-10036380			Chr07|10225777-10396415							Chr07|9830504-10001137			Chr07|9763873-9934474
Chr07	10140141	10357623	217482	Chr07|10032512-10206872	Chr07|10570331-10744687			Chr07|10931354-11105820				Chr07|10449715-10623776	Chr07|10675502-10849907		Chr07|10536039-10710506			Chr07|10469340-10648392
Chr07	11770480	11773844	3385	Chr07|12001924-12005309	Chr07|12553691-12557076	Chr07|12058907-12062291	Chr07|11818545-11822054	Chr07|12918626-12922011				Chr07|12459253-12462638	Chr07|12678070-12681455		Chr07|12524173-12527558	Chr07|12411280-12414666	Chr07|12198918-12202427	Chr07|12462154-12465539
Chr07	17945596	17947144	1548	Chr07|18288505-18290069				Chr07|19384676-19386240			Chr07|17899488-17901052	Chr07|18451670-18453234	Chr07|18797897-18799461		Chr07|19013022-19014586			
Chr07	21008395	21013353	4958	Chr07|21112898-21117861	Chr07|21604360-21609325		Chr07|20564472-20569432	Chr07|22209699-22214664		Chr07|21632389-21637352	Chr07|20825090-20830055	Chr07|21380955-21385920	Chr07|21799518-21804483		Chr07|21837852-21842817			Chr07|21558013-21562974
Chr07	21712707	21721729	9022	Chr07|22069041-22090472	Chr07|22226847-22248278			Chr07|23165987-23187418		Chr07|22331982-22353247	Chr07|21530328-21551781	Chr07|22157374-22178805		Chr07|21216709-21239526	Chr07|22794160-22815588			
Chr07	23127203	23128715	1512						Chr07|22931311-22932838				Chr07|24107280-24108807			Chr07|23781769-23783296		Chr07|23763439-23764966
Chr07	23127203	23129411	2208	Chr07|23521416-23523615	Chr07|23659454-23661652	Chr07|22808975-22822465	Chr07|22674866-22677063	Chr07|24588323-24590483		Chr07|23730084-23732281	Chr07|23013708-23015906	Chr07|23604045-23606243		Chr07|22657706-22671198	Chr07|24246642-24248841		Chr07|22652542-22654769	
Chr07	24829759	24863811	34052	Chr07|25219536-25234962	Chr07|25349051-25364481			Chr07|26304842-26320274		Chr07|25446378-25461810		Chr07|25359222-25374655	Chr07|25898062-25913494		Chr07|25944983-25960415			Chr07|25591254-25606707
Chr07	28583955	28700441	116486				Chr07|28068532-28175561		Chr07|28210935-28318065							Chr07|29255170-29362245	Chr07|28083591-28190594	
Chr08	3427677	3428840	1163	Chr08|3470268-3471469							Chr08|3527257-3528458	Chr08|3237335-3238537	Chr08|3207363-3208565			Chr08|3583454-3584656		Chr08|3143532-3144734
Chr08	5681871	5683012	1141		Chr08|5761748-5762908	Chr08|5255848-5257008				Chr08|5627845-5629005	Chr08|5903253-5904413							
Chr08	6690788	6890245	199457		Chr08|6485938-6813702							Chr08|6138640-6388735	Chr08|6031081-6346675		Chr08|6679400-6990662			
Chr08	7132399	7368388	235989		Chr08|6847326-7362056							Chr08|6411754-6887339	Chr08|6369690-6847132		Chr08|7013679-7487662			
Chr08	11497759	11499087	1332	Chr08|11582866-11584192	Chr08|11409216-11410532	Chr08|11615089-11616396		Chr08|11664872-11666206			Chr08|12635083-12636402	Chr08|10933335-10934645			Chr08|11403162-11404484			Chr08|11306423-11307844
Chr08	13425349	13429492	4136	Chr08|13735591-13739745	Chr08|13658938-13663092	Chr08|13762384-13766529		Chr08|13891052-13895206		Chr08|13491563-13495688	Chr08|14864729-14868883	Chr08|13006510-13010664		Chr08|13828582-13832655	Chr08|13651254-13655411			Chr08|13566581-13570732
Chr08	24879160	24880341	1181			Chr08|25956801-25957982						Chr08|25611058-25612239	Chr08|25712209-25713390	Chr08|26422530-26423711	Chr08|26333446-26334627			Chr08|26087402-26088584
Chr09	309450	313218	3768	Chr09|231643-235387		Chr09|269708-273453		Chr09|240575-244353		Chr09|272711-276489	Chr09|279236-282980	Chr09|365656-369400	Chr09|321171-324915	Chr09|303028-306773	Chr09|330559-334337			Chr09|297991-301735
Chr09	3894745	3941525	46592	Chr09|4483412-4515141		Chr09|4151602-4186660		Chr09|4541732-4582554	Chr09|4845503-4891528	Chr09|4645399-4677140	Chr09|4551565-4592019	Chr09|4612636-4644375	Chr09|4572046-4603787	Chr09|4277095-4312154	Chr09|4566920-4598659			Chr09|4545131-4585825
Chr09	5969688	5988664	18976		Chr09|5639021-5658615	Chr09|6584499-6604087					Chr09|6820505-6840099	Chr09|6669532-6689129	Chr09|6628776-6648380		Chr09|6624476-6644070			Chr09|6853809-6873405
Chr09	7088238	7091460	3225	Chr09|7883481-7886702				Chr09|8237108-8240331			Chr09|8003534-8006757	Chr09|7840457-7843682			Chr09|7795585-7798814			
Chr09	11360222	11363257	3035	Chr09|12571886-12574894		Chr09|12390341-12393350			Chr09|12409744-12412753		Chr09|11970811-11973820		Chr09|11908155-11911164	Chr09|11787969-11790978	Chr09|12334827-12337835			
Chr09	14139214	14145721	6507				Chr09|14302240-14309122		Chr09|15454687-15461566							Chr09|14654404-14661277	Chr09|14249764-14256646	
Chr09	23001130	23003059	1929		Chr09|22537625-22539551	Chr09|24325309-24327241				Chr09|24426071-24427998	Chr09|24005945-24007872		Chr09|24038879-24040806	Chr09|23587318-23589245	Chr09|24965681-24967608			
Chr10	7612912	7675732	62820		Chr10|8804122-8859892			Chr10|8605918-8661662		Chr10|8216262-8302462					Chr10|8177251-8263975			Chr10|8305616-8392329
Chr10	8948404	8967277	19143	Chr10|10342750-10360016		Chr10|10255627-10282194	Chr10|9976579-10003886		Chr10|9926533-9962349	Chr10|10011851-10038443	Chr10|10336501-10353769	Chr10|10472697-10489965	Chr10|10336076-10353344	Chr10|10504786-10531355	Chr10|9969863-9996472			Chr10|10113682-10140281
Chr10	13960714	13970825	10111	Chr10|15749034-15759123	Chr10|16163561-16173649	Chr10|15491420-15501512		Chr10|15957615-15967704		Chr10|15841141-15851231	Chr10|15839647-15849733	Chr10|15894007-15904097	Chr10|15897368-15907459	Chr10|15675781-15685869	Chr10|15809038-15819130			Chr10|16024993-16035082
Chr10	14011306	14069165	57859	Chr10|15801202-15890266				Chr10|16008832-16081718		Chr10|15893705-15966566			Chr10|15948507-16021367		Chr10|15861217-15933412			Chr10|16077168-16149410
Chr10	16418250	16423125	4875	Chr10|18073213-18078058		Chr10|17873499-17878430			Chr10|17679920-17684828			Chr10|18243749-18248595		Chr10|18057641-18062509			Chr10|16861620-16866496	Chr10|18336489-18341391
Chr10	20151320	20153184	1864	Chr10|21980883-21982736						Chr10|22168322-22170175	Chr10|22384563-22386416	Chr10|22234448-22236301		Chr10|22021640-22023493	Chr10|22259331-22261184			Chr10|22255651-22257504
Chr10	20836592	20861474	24882	Chr10|22704701-22729666	Chr10|23207655-23232622			Chr10|23050389-23075355		Chr10|22889484-22914451	Chr10|23108596-23133562	Chr10|22958461-22983431	Chr10|23063205-23088172					Chr10|22979818-23004787
Chr10	22595003	22597007	2004	Chr10|24505719-24507699		Chr10|24140900-24142880		Chr10|24832248-24834228				Chr10|24763070-24765050				Chr10|25307900-25309900		
Chr11	1754057	1773200	19143					Chr11|1760167-1777451				Chr11|1828355-1845628	Chr11|1700996-1718277		Chr11|1768684-1785962			
Chr11	3551604	3553647	2043	Chr11|3518899-3520925				Chr11|3474845-3476872	Chr11|3523895-3525884		Chr11|3550007-3552034		Chr11|3446999-3448988		Chr11|3491056-3493083	Chr11|3542697-3544699		
Chr11	5032632	5062474	29842			Chr11|5159982-5169526					Chr11|5204355-5213899		Chr11|5099893-5109437			Chr11|5065725-5075269		
Chr11	6646291	6659642	13351	Chr11|6871907-6885010	Chr11|7134614-7147716			Chr11|6778189-6791299		Chr11|6919488-6932594					Chr11|6795026-6808142			
Chr11	8368592	8399515	30923	Chr11|8308570-8339513	Chr11|8496760-8566164			Chr11|8164547-8195466		Chr11|8404331-8450372	Chr11|8334879-8403399	Chr11|8337547-8368474	Chr11|8325931-8356845		Chr11|8232028-8262972			Chr11|8323363-8392428
Chr11	10009895	10011769	1873	Chr11|10420505-10422285		Chr11|10063058-10064837		Chr11|9840173-9841955					Chr11|9977051-9978833	Chr11|9852666-9854446	Chr11|10463976-10465758			
Chr11	12554599	12727710	173111			Chr11|12879538-13145648							Chr11|12909112-13131756		Chr11|13824690-14082964			Chr11|13037967-13260573
Chr11	12727710	13027384	299674	Chr11|13482118-13825503		Chr11|13146695-13486686							Chr11|13132803-13584705		Chr11|14084011-14426964			Chr11|13261620-13757037
Chr11	14293691	14615288	321597	Chr11|15469119-16070953	Chr11|15545233-15970895			Chr11|15272761-15731816			Chr11|16282561-16715167				Chr11|16070570-16672238	Chr11|14390092-14869925		
Chr11	14293691	14622653	328962			Chr11|15114720-15716446				Chr11|15597674-16198215		Chr11|15987635-16533142	Chr11|15225541-15770876	Chr11|15335260-16015054				Chr11|15564224-16109685
Chr11	16492002	16533416	41401	Chr11|18292201-18334139							Chr11|19137363-19175843		Chr11|17827517-17864295			Chr11|17336720-17374047		Chr11|18172842-18211340
Chr11	16503989	16533416	29427		Chr11|18414343-18464705			Chr11|18163991-18214355				Chr11|18618661-18669023		Chr11|18128481-18178170	Chr11|18900391-18950748			
Chr11	16580206	16583039	2833		Chr11|18501762-18504907			Chr11|18251412-18254554				Chr11|18706080-18709225		Chr11|18215142-18218287	Chr11|18987804-18990950			
Chr11	16583043	16765720	182677		Chr11|18511705-18653793			Chr11|18261352-18411780				Chr11|18716023-18858105		Chr11|18224837-18367087	Chr11|18997748-19139845			
Chr11	17078698	17238537	159839	Chr11|18881132-19078788		Chr11|18431018-18552502		Chr11|18881545-19153435		Chr11|18923422-19044155	Chr11|19770514-20038223		Chr11|18529217-18800461	Chr11|18679483-18800435	Chr11|19438110-19626714	Chr11|18039087-18243720		Chr11|18810378-19082433
Chr11	19817501	19848205	30767			Chr11|21411648-21442170			Chr11|19282681-19313514		Chr11|22857434-22902191					Chr11|21133520-21164410		Chr11|22203831-22248622
Chr11	20462577	20464447	1870		Chr11|22971067-22972928	Chr11|22057089-22058950		Chr11|22618989-22620850		Chr11|22465179-22467040	Chr11|23521550-23523411	Chr11|23093172-23095033		Chr11|22254786-22256647				
Chr11	21608092	21609959	1867		Chr11|24155780-24157652		Chr11|21989389-21991261		Chr11|21015427-21017299	Chr11|23694037-23695909	Chr11|24829940-24831812		Chr11|23770302-23772174		Chr11|24259056-24260928		Chr11|21186934-21188806	Chr11|24411040-24412910
Chr11	23736842	23756295	19453					Chr11|25977251-26009691		Chr11|25805367-25837807	Chr11|26967524-26999964		Chr11|25807685-25840118		Chr11|26256814-26279231	Chr11|25058467-25080878		Chr11|26502236-26524646
Chr12	691451	1016732	325281	Chr12|746223-1091415				Chr12|704050-1049395				Chr12|745693-1091000			Chr12|743039-1088308			Chr12|743570-1089134
Chr12	6123422	6129454	5995					Chr12|5697609-5703879	Chr12|5830878-5848373	Chr12|5735840-5741890	Chr12|5704152-5710424	Chr12|5843192-5849462			Chr12|5736410-5742680			Chr12|5699315-5705585
Chr12	10810696	10833511	22815			Chr12|10647843-10673143			Chr12|10317292-10342591	Chr12|11203419-11228495					Chr12|10185517-10210814			
Chr12	14822002	15059221	237219	Chr12|14063872-14354458	Chr12|14582048-15144534	Chr12|14959026-15333655	Chr12|15089379-15376923		Chr12|14570238-14944875	Chr12|15512015-15823849	Chr12|14460674-14827362		Chr12|14352654-14730967	Chr12|14411867-14687648		Chr12|14676138-14966773		Chr12|14390648-14768989
Chr12	15668569	15672403	3824	Chr12|14985213-14989047		Chr12|15928588-15932421					Chr12|15622847-15626656		Chr12|15559247-15563056			Chr12|15607350-15611184		
Chr12	16283510	16284937	1200	Chr12|15764090-15765257	Chr12|16615824-16616999		Chr12|17130569-17131736	Chr12|15760385-15761560		Chr12|17084279-17085454	Chr12|16332633-16333809	Chr12|16766816-16767996	Chr12|16269536-16270712		Chr12|15888174-15889349	Chr12|16539294-16540469		Chr12|16169673-16170848
Chr12	19581271	19634473	53202	Chr12|18355784-18418597	Chr12|19614531-19677315	Chr12|19335611-19424991		Chr12|18239637-18302096				Chr12|19390657-19453442	Chr12|19164934-19227719	Chr12|18654581-18743393	Chr12|18367442-18430257			Chr12|19207711-19270498
Chr12	24532020	24563262	31242	Chr12|22979376-22998505				Chr12|22381289-22400426		Chr12|24169422-24188559		Chr12|23672347-23691485	Chr12|23218400-23237541		Chr12|22833061-22852199			Chr12|23322675-23341814
